label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus,pv_label,skel_total_length_um,skel_branches_count,skel_avg_branch_len_um,skel_endpoints_count,skel_junctions_count,skel_tortuosity_mean,skel_ramification_index,skel_mean_thickness_um,skel_max_thickness_um,skel_mean_intensity,skel_neighborhood_wfa_sum,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um
158,694.6511627906976,726.7674418604652,109.00500000000001,11.780894557454303,30805.0,True,True,299,109.23498551495557,23,4.749347196302416,10,12,1.0876060029012484,1.9166666666666667,3.441471262512917,10.4,57.3445945945946,36510.0,PV+/PNN+,109.00500000000001,11.780894557454303,183.365,15.27964558228898
159,717.24,304.79333333333335,63.37500000000001,8.982847886254723,24967.0,True,True,314,46.76173157302028,2,23.38086578651014,1,1,1.0796691275336339,2.0,1.9237868522692674,2.906888370749727,55.33870967741935,17286.0,PV+/PNN+,63.37500000000001,8.982847886254723,166.04250000000002,14.540009529112703
160,722.9072164948453,1163.3470790378008,122.94750000000002,12.511659319463842,19698.0,True,True,317,43.89249275747777,8,5.486561594684721,4,4,1.27951865452555,2.0,1.8180924220221353,2.906888370749727,53.98275862068966,14795.0,PV+/PNN+,122.94750000000002,12.511659319463842,157.17000000000002,14.146202997484007
161,719.8542713567839,983.2814070351759,84.07750000000001,10.346535546861599,5201.0,True,False,-1,0.0,0,0.0,0,0,1.0,0.0,1.3,1.3,47.0,548.0,PV-/PNN+,0.0,0.0,84.07750000000001,10.346535546861599
162,723.6301369863014,1217.1027397260275,61.68500000000001,8.86226727857993,5964.0,True,False,-1,20.62314933988261,4,5.155787334970652,5,1,1.1575180757992847,4.0,2.0499758842058284,2.906888370749727,55.06666666666667,7316.0,PV-/PNN+,0.0,0.0,61.68500000000001,8.86226727857993
163,725.4444444444445,1007.3434343434343,41.82750000000001,7.297700121093632,11755.0,True,True,319,49.1848809129029,7,7.026411558986128,5,3,1.09138826706206,2.3333333333333335,2.3544175006136374,5.2,53.84126984126984,14401.0,PV+/PNN+,41.82750000000001,7.297700121093632,109.00500000000001,11.780894557454303
164,726.5625,197.325,33.800000000000004,6.560144557252417,11733.0,True,True,320,26.834776310850238,3,8.94492543695008,6,0,1.166513144318266,3.0,1.4495771197458398,1.8384776310850237,48.638888888888886,8176.0,PV+/PNN+,33.800000000000004,6.560144557252417,120.41250000000001,12.382001319674572
165,725.3229166666666,503.125,40.56,7.186278309003779,3622.0,True,False,-1,39.834776310850245,11,3.621343300986386,7,5,1.1682567973107343,2.2,1.9802847135496124,3.6769552621700474,51.574074074074076,11422.0,PV-/PNN+,0.0,0.0,40.56,7.186278309003779
166,731.9847328244275,43.0763358778626,110.69500000000001,11.87186806717708,10447.0,True,True,321,28.78477631085024,2,14.39238815542512,4,0,1.5627135064752813,2.0,1.5951484762463257,2.6,58.76315789473684,8929.0,PV+/PNN+,110.69500000000001,11.87186806717708,106.47000000000001,11.6431015768116
167,729.3237410071943,957.5539568345324,58.727500000000006,8.647206217237697,6451.0,True,False,-1,44.450104602052654,10,4.445010460205266,5,5,1.109604827100841,2.0,2.4675097016993393,5.360037313302959,51.20634920634921,13247.0,PV-/PNN+,0.0,0.0,58.727500000000006,8.647206217237697
168,731.4583333333334,986.325,101.4,11.362503678157625,9073.0,True,False,-1,21.653910524340095,10,2.1653910524340096,8,4,1.1567129353737158,2.5,3.685673445411601,7.353910524340095,58.81818181818182,9461.0,PV-/PNN+,0.0,0.0,101.4,11.362503678157625
