label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus,pv_label,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um,score
31,470.0,359.5,45.63,7.622199185685551,6108.0,True,True,118,PV+/PNN+,65.06500000000001,9.101831188183693,45.63,7.622199185685551,0.7960445880889893
32,490.0,434.0,47.74250000000001,7.796642800880295,4340.0,True,True,128,PV+/PNN+,86.61250000000001,10.501355153901534,47.74250000000001,7.796642800880295,0.502731204032898
33,471.5,400.5,47.32000000000001,7.762067717874401,4059.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.528371274471283
34,494.5,175.0,45.63,7.622199185685551,10830.0,True,True,131,PV+/PNN+,53.23500000000001,8.232916079007266,45.63,7.622199185685551,0.8995571732521057
35,393.0,388.5,45.63,7.622199185685551,8572.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.6454035639762878
36,127.5,294.0,45.63,7.622199185685551,2232.0,True,True,30,PV+/PNN+,82.81,10.268250420569165,45.63,7.622199185685551,0.4424050748348236
37,78.5,944.0,45.63,7.622199185685551,5740.0,True,True,15,PV+/PNN+,86.61250000000001,10.501355153901534,45.63,7.622199185685551,0.9722806215286255
38,126.5,851.0,45.63,7.622199185685551,4583.0,True,True,29,PV+/PNN+,98.02000000000001,11.17152362817806,45.63,7.622199185685551,0.9586095213890076
39,131.5,516.0,45.63,7.622199185685551,3878.0,True,True,31,PV+/PNN+,78.16250000000001,9.9759503765487,45.63,7.622199185685551,0.9176212549209595
40,116.0,557.5,45.63,7.622199185685551,5490.0,True,True,28,PV+/PNN+,68.44500000000001,9.335249361393526,45.63,7.622199185685551,0.987865149974823
41,241.5,863.0,45.63,7.622199185685551,10006.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9553427696228027
42,341.0,984.5,45.63,7.622199185685551,12986.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.952184796333313
43,283.5,623.5,47.32000000000001,7.762067717874401,9949.0,True,True,70,PV+/PNN+,70.5575,9.47821708854842,47.32000000000001,7.762067717874401,0.9686102271080017
44,184.0,966.5,45.63,7.622199185685551,6179.0,True,True,42,PV+/PNN+,76.47250000000001,9.867512912824576,45.63,7.622199185685551,0.9809664487838745
45,178.5,551.0,45.63,7.622199185685551,5089.0,True,True,38,PV+/PNN+,79.8525,10.0832217443615,45.63,7.622199185685551,0.9465996623039246
46,254.5,719.0,45.63,7.622199185685551,8815.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9321452379226685
47,183.0,594.5,45.63,7.622199185685551,4714.0,True,True,41,PV+/PNN+,70.98,9.506552628860888,45.63,7.622199185685551,0.9252833724021912
48,363.5,927.5,47.32000000000001,7.762067717874401,10117.0,True,True,92,PV+/PNN+,68.02250000000001,9.306392261867519,47.32000000000001,7.762067717874401,0.9468217492103577
49,289.5,757.0,45.63,7.622199185685551,17594.0,True,False,-1,PV-/PNN+,0.0,0.0,45.63,7.622199185685551,0.9710507988929749
50,169.0,816.5,45.63,7.622199185685551,3914.0,True,True,37,PV+/PNN+,99.71000000000001,11.267418293714986,45.63,7.622199185685551,0.9162553548812866
51,354.5,699.5,47.32000000000001,7.762067717874401,17392.0,True,False,-1,PV-/PNN+,0.0,0.0,47.32000000000001,7.762067717874401,0.9610957503318787
52,331.0,794.0,47.74250000000001,7.796642800880295,13574.0,True,False,-1,PV-/PNN+,0.0,0.0,47.74250000000001,7.796642800880295,0.9565550684928894
53,237.5,758.5,47.32000000000001,7.762067717874401,4954.0,True,True,58,PV+/PNN+,101.4,11.362503678157625,47.32000000000001,7.762067717874401,0.9136258959770203
54,485.5,797.5,47.32000000000001,7.762067717874401,5794.0,True,True,126,PV+/PNN+,69.7125,9.421290344870497,47.32000000000001,7.762067717874401,0.8088592290878296
55,199.5,788.5,47.32000000000001,7.762067717874401,4104.0,True,True,44,PV+/PNN+,107.73750000000001,11.712200709128265,47.32000000000001,7.762067717874401,0.7890025973320007
