label,centroid_y,centroid_x,area_um2,diameter_um,dapi_mean_intensity,wfa_sum_intensity,is_pnn_plus,is_er_plus
27231,2558.2,2424.3333333333335,71.50102907297558,9.541380283007856,3585.411111111111,1569017,False,True
27232,2557.5339805825242,2457.73786407767,81.8289554946276,10.207245565779907,3469.223300970874,1550105,False,True
27233,2558.757894736842,2714.7157894736843,75.47330846591866,9.802836370704288,3953.221052631579,1770963,False,True
27234,2560.032786885246,3017.8360655737706,96.92361718781135,11.108869529447816,5340.393442622951,2356194,False,True
27235,2556.2903225806454,3179.451612903226,24.628132236247144,5.599777841678784,5523.354838709677,2503258,False,False
27236,2558.0363636363636,4.054545454545455,43.695073322373965,7.45884007498143,4079.9454545454546,1306627,False,False
27237,2559.310344827586,775.7816091954023,69.11766143720973,9.381009528908498,4971.252873563219,2008138,False,True
27238,2559.114285714286,1239.4714285714285,55.61191150120323,8.414706464377955,5375.657142857143,2235973,False,True
27239,2561.023076923077,2595.0615384615385,103.27926421652027,11.467311949695311,3310.9692307692308,1471304,False,True
27240,2560.0576923076924,2648.798076923077,82.62341137321623,10.256675615485745,3870.355769230769,1703782,False,False
27241,2559.472972972973,2842.9189189189187,58.789735015557696,8.651786835464078,8092.864864864865,3658484,False,True
27242,2559.4375,3465.5375,63.556470287089404,8.995699599992633,6180.025,2922031,False,True
27243,2560.0,59.0990099009901,80.24004373745038,10.107660300870862,4626.435643564357,1981677,False,False
27244,2559.8076923076924,516.3974358974359,61.96755852991217,8.882541641387048,5026.076923076923,2592782,False,True
27245,2559.561403508772,1053.701754385965,45.2839850795512,7.593244401866813,5068.491228070176,2088626,False,False
27246,2559.4418604651164,1703.5348837209303,34.161602779310556,6.595142422279662,4362.302325581395,1736777,False,False
27247,2560.525641025641,1837.679487179487,61.96755852991217,8.882541641387048,4618.179487179487,1754270,False,False
27248,2558.575,1980.175,31.778235143544702,6.360920188671904,3642.4,1486070,False,False
27249,2560.7088607594937,1992.4810126582279,62.76201440850079,8.939299673472261,3422.8860759493673,1471724,False,True
27250,2560.478873239437,2149.2957746478874,56.406367379791845,8.474598369410229,3714.549295774648,1627049,False,False
27251,2560.2926829268295,2328.0731707317073,65.14538204426664,9.107451705918638,4363.280487804878,1903585,False,True
27252,2560.755319148936,2625.5851063829787,74.67885258733006,9.75110600237924,4398.5,1848666,False,True
27253,2560.764705882353,2760.6470588235293,54.022999744025995,8.293625238658391,4241.64705882353,1778460,False,True
27254,2561.9101123595506,2942.0898876404494,70.70657319438696,9.48822454750122,4454.6741573033705,2170189,False,True
27255,2560.576923076923,3007.897435897436,61.96755852991217,8.882541641387048,4941.128205128205,2491126,False,True
27256,2560.6846846846847,3059.7297297297296,88.18460252333655,10.596231555107897,7320.396396396396,2926623,False,True
27257,2562.0887096774195,3201.5564516129034,98.51252894498857,11.199555683357568,6368.467741935484,2713984,False,True
27258,2559.8153846153846,3420.246153846154,51.63963210826014,8.108614041611084,7286.030769230769,2942253,False,True
27259,2560.8846153846152,528.9230769230769,41.311705686608114,7.252564880140676,8975.153846153846,3214221,False,False
27260,2561.9242424242425,621.0151515151515,52.43408798684876,8.170749923781708,6313.181818181818,2404896,False,True
27261,2561.0142857142855,1202.45,111.22382300240646,11.90019200531186,2841.0857142857144,1378312,False,True
27262,2560.392156862745,1571.549019607843,40.51724980801949,7.182490146145945,3058.529411764706,1400781,False,False
27263,2561.0825688073396,1628.119266055046,86.59569076615931,10.500336084484706,4542.183486238532,1986839,False,True
27264,2560.851063829787,2116.6382978723404,37.33942629366503,6.895073178351208,2413.9148936170213,1325855,False,False
27265,2561.173333333333,2190.5066666666667,59.58419089414632,8.710048684564047,4364.88,1766140,False,False
27266,2561.4186046511627,2362.0,68.32320555862111,9.326939859370043,3622.8372093023254,1603817,False,True
27267,2559.3255813953488,2380.0697674418607,34.161602779310556,6.595142422279662,4549.581395348837,1739067,False,False
27268,2561.265060240964,2400.578313253012,65.93983792285526,9.16281666393073,3975.5662650602408,1709838,False,False
27269,2562.603448275862,2681.612068965517,92.15688191627963,10.832256753571532,4187.2155172413795,1744908,False,True
27270,2561.318181818182,2724.7045454545455,69.91211731579834,9.434769335952966,4343.409090909091,1815387,False,True
27271,2560.9615384615386,2851.0576923076924,41.311705686608114,7.252564880140676,4161.153846153846,2295239,False,True
27272,2562.46875,2951.4166666666665,76.26776434450728,9.85429518291233,5430.71875,2229335,False,True
27273,2561.730769230769,2993.4358974358975,61.96755852991217,8.882541641387048,7082.551282051282,2970772,False,True
27274,2560.446808510638,3114.6382978723404,37.33942629366503,6.895073178351208,6668.510638297872,2519570,False,False
27275,2563.3370786516853,3570.4269662921347,70.70657319438696,9.48822454750122,5158.044943820225,2362948,False,True
27276,2561.472972972973,3672.9324324324325,58.789735015557696,8.651786835464078,5290.256756756757,2223219,False,True
27277,2561.6666666666665,1290.6666666666667,52.43408798684876,8.170749923781708,5741.439393939394,2488575,False,False
27278,2563.0263157894738,1761.421052631579,90.5679701591024,10.738469215533625,3781.3859649122805,1497163,False,True
27279,2560.823529411765,1848.7450980392157,40.51724980801949,7.182490146145945,3477.294117647059,1473084,False,False
27280,2562.4523809523807,2560.4444444444443,100.10144070216582,11.289513399033613,3426.1349206349205,1425714,False,True
27281,2562.5205479452056,3217.5616438356165,57.99527913696908,8.593129977205233,7046.958904109589,2779387,False,False
27282,2562.5862068965516,3553.5344827586205,46.078440958139815,7.659562206004206,5581.568965517241,2367501,False,False
27283,2563.878787878788,3578.686868686869,78.65113198027314,10.007084064574864,5675.383838383838,2542679,False,False
27284,2565.538961038961,3648.538961038961,122.3462053026471,12.481026670094778,4468.084415584415,1940693,False,True
27285,2562.490566037736,754.7924528301887,42.10616156519673,7.321968996234298,5566.226415094339,2211572,False,False
27286,2563.3361344537816,912.5882352941177,94.5402495520455,10.97143492432941,3949.7731092436975,1638691,False,False
27287,2563.0508474576272,1125.7457627118645,46.87289683672844,7.7253107270073205,4545.4915254237285,1932040,False,False
27288,2562.7938144329896,1265.2886597938145,77.0622202230959,9.905486671190642,5778.917525773196,2535141,False,False
