total_dapi,total_pv_segmentation,pnn_plus,pnn_minus,dapi_pv_coloc,pv_pnn_plus,pv_pnn_minus,hollow_pnn_plus,total_pnn_plus,pixel_size,image_area_mm2,total_integrated_wfa_signal,mean_wfa_intensity_raw,integrated_wfa_density_mm2,diffuse_wfa_fluorescence,diffuse_pv_fluorescence,pv_density_mm2,pnn_density_mm2,coloc_density_mm2,pv_energy,pnn_energy,coloc_energy,pct_pv_surrounded_by_pnn,pct_pnn_surrounding_pv,mean_pv_cell_intensity_norm,mean_pnn_pericellular_wfa_norm,mean_coloc_pericellular_wfa_norm,group,section,filename,animal_id,corte_num
4126,366,188,178,154,154,178,34,188,0.65,0.5813262,33877799.0,24.621924966567825,889.2461353933132,0.00037570649220367475,0.00017736315096504308,629.5948814968257,323.39846371968093,264.9115075150578,0.1944071904704374,0.2672042697287467,0.2025451439413633,42.07650273224044,81.91489361702128,0.0003404035942435409,0.0008262385252403584,0.0007645766159473102,ACF 14 DÍAS HEMBRA,CONTRA,ACF_71~2.TIF,ACF_71,2
4889,341,192,149,164,164,149,28,192,0.65,0.5813262,32817936.0,23.851630908773767,861.4261735121895,0.0003639525583089001,0.00018420240711491842,586.5897666404851,330.27928209669545,282.11355345759404,0.21196487955402019,0.2570454776317066,0.21480806712815068,48.09384164222874,85.41666666666666,0.0003936764791201158,0.0007782670350980469,0.0007614241304448339,ACF 14 DÍAS HEMBRA,CONTRA,ACF_71~3.TIF,ACF_71,3
5735,280,143,137,116,116,137,27,143,0.65,0.5813262,20950926.0,15.226848944706088,549.9333052425064,0.000232346821464959,0.00020193182641819684,481.65728639101417,245.98925697826797,199.54373293342016,0.18880174066117655,0.12853924423466453,0.09418133825861255,41.42857142857143,81.11888111888112,0.0004338158041578943,0.0005225400727399262,0.000471983443799947,ACF 14 DÍAS HEMBRA,IPSI,ACF_49~1.TIF,ACF_49,1
6355,319,172,147,145,145,147,27,172,0.65,0.5813262,26765158.0,19.45255392755393,702.5489853898542,0.0002968269463272134,0.00018250267947812334,548.7452655669055,295.875190211623,249.4296661667752,0.19394322265125477,0.2031296939774281,0.15005748228221563,45.45454545454545,84.30232558139535,0.00038611053643701325,0.0006865384482968673,0.0006016023859081914,ACF 14 DÍAS HEMBRA,IPSI,ACF_49~2.TIF,ACF_49,2
5537,311,167,144,120,120,144,47,167,0.65,0.5813262,25607005.0,18.610824030466887,672.1490447253445,0.0002839829713964582,0.00016456507775214246,534.9836288128764,287.27416724035487,206.42455131043465,0.17159108976066886,0.20258406431399753,0.13215377827080374,38.58520900321543,71.8562874251497,0.00037784240971374446,0.0007051941574144419,0.0006402037811484076,ACF 14 DÍAS HEMBRA,IPSI,ACF_49~3.TIF,ACF_49,3
2591,262,135,127,95,95,127,40,135,0.65,0.5813262,11688587.0,8.495106546892261,306.8095072515931,0.00012962701681379813,9.45178807607826e-05,450.693603694449,232.227620224239,163.4194364540941,0.07682979156398011,0.07497557026120645,0.04465835899552642,36.25954198473282,70.37037037037037,0.00020118545394901178,0.0003228538026131863,0.000273274464559002,ACF 14 DÍAS HEMBRA,IPSI,ACF_50~1.TIF,ACF_50,1
2521,270,141,129,99,99,129,42,141,0.65,0.5813262,12620491.0,9.172401738473168,331.2707194619133,0.00013996187897265838,9.178315200724164e-05,464.455240448478,242.5488477897607,170.3002548311086,0.07847301712280236,0.08123958626749134,0.04629854181672394,36.666666666666664,70.2127659574468,0.000200080793186551,0.00033494113457058813,0.0002718641957561336,ACF 14 DÍAS HEMBRA,IPSI,ACF_50~2.TIF,ACF_50,2
3643,238,125,113,76,76,113,49,125,0.65,0.5813262,10294489.0,7.481895022966452,270.21633132361904,0.00011416639998422906,8.442810871175212e-05,409.40869343236204,215.02557428170277,130.73554916327527,0.06480376336430478,0.06983710106976772,0.03402640800027144,31.932773109243694,60.8,0.00019932341535592866,0.00032478509267123203,0.00026026897976904467,ACF 14 DÍAS HEMBRA,IPSI,ACF_50~3.TIF,ACF_50,3
223,375,181,194,156,156,194,25,181,0.65,0.5813262,33418453.0,24.288078522007094,877.188927801156,0.00037061232199598834,0.00045228754754199173,645.0767228451083,311.3570315599056,268.35191670356505,0.5501526144653723,0.2254032285763384,0.17866383422214402,41.6,86.1878453038674,0.0009137660822491998,0.0007239381344531172,0.0006657818450371086,ACF 14 DÍAS HEMBRA,IPSI,ACF_55~1.TIF,ACF_55,1
2532,346,182,164,160,160,164,22,182,0.65,0.5813262,28128149.0,20.443157305657305,738.3256448867086,0.00031194258496463424,0.000418614351191273,595.1907896117533,313.0772361541592,275.2327350805795,0.49345704206077246,0.20366725293879878,0.17801211887995536,46.24277456647399,87.91208791208791,0.0008853688491494723,0.0006505335726118172,0.0006467694288902044,ACF 14 DÍAS HEMBRA,IPSI,ACF_55~2.TIF,ACF_55,2
