label,centroid_y,centroid_x,area_um2,diameter_um,wfa_sum_intensity,is_pnn_plus,is_pv_plus,pv_label,skel_total_length_um,skel_branches_count,skel_avg_branch_len_um,skel_endpoints_count,skel_junctions_count,skel_tortuosity_mean,skel_ramification_index,skel_mean_thickness_um,skel_max_thickness_um,skel_mean_intensity,skel_neighborhood_wfa_sum,cell_type,pv_area_um2,pv_diameter_um,pnn_area_um2,pnn_diameter_um
158,718.6105263157895,58.96842105263158,80.275,10.109861742556879,1389.0,True,True,78,0.0,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,PV+/PNN+,80.275,10.109861742556879,33.377500000000005,6.519014718835807
159,728.9601449275362,34.55072463768116,116.61000000000001,12.18492771055977,10332.0,True,True,81,37.34629867976521,4,9.336574669941303,5,1,1.254382237624975,4.0,1.5803300858899105,2.6,42.23076923076923,9022.0,PV+/PNN+,116.61000000000001,12.18492771055977,145.34,13.603405288081678
160,730.7084745762712,119.0271186440678,124.63750000000002,12.597356617835697,11405.0,True,False,-1,42.05401512639275,7,6.007716446627535,5,3,1.0754836835640817,2.3333333333333335,1.9409170426714588,3.6769552621700474,39.92982456140351,10485.0,PV-/PNN+,0.0,0.0,124.63750000000002,12.597356617835697
161,747.039603960396,745.7425742574258,128.0175,12.767025629258121,8417.0,True,False,-1,25.757821048680192,5,5.151564209736039,4,2,1.3201978942186559,2.5,2.3606676782671627,4.110960958218894,41.705882352941174,6347.0,PV-/PNN+,0.0,0.0,128.0175,12.767025629258121
162,746.6711409395973,731.6644295302013,62.95250000000001,8.952854988211321,4377.0,True,False,-1,22.303910524340093,11,2.027628229485463,3,6,1.2256686799665355,1.8333333333333333,2.555148735734745,4.110960958218894,47.44827586206897,5345.0,PV-/PNN+,0.0,0.0,62.95250000000001,8.952854988211321
163,745.9942528735633,1210.6781609195402,73.515,9.6748232609803,6065.0,True,False,-1,28.35782104868018,2,14.17891052434009,1,1,1.0000000000000004,2.0,2.0265512617640393,2.906888370749727,46.67567567567568,6461.0,PV-/PNN+,0.0,0.0,73.515,9.6748232609803
164,756.841726618705,633.8237410071943,117.45500000000001,12.2289963090545,13204.0,True,False,-1,140.08128419472075,32,4.3775401310850235,13,17,1.1144675567303364,1.8823529411764706,3.593020415217272,10.4,44.6524064171123,35394.0,PV-/PNN+,0.0,0.0,117.45500000000001,12.2289963090545
165,756.2649572649573,653.1213675213676,247.16250000000002,17.7397031817222,31183.0,True,False,-1,103.65422433049805,30,3.455140811016602,15,15,1.091237243134501,2.0,2.2687688116984392,5.360037313302959,41.17142857142857,25212.0,PV-/PNN+,0.0,0.0,247.16250000000002,17.7397031817222
166,752.7168674698795,1054.867469879518,70.135,9.449796583524995,5708.0,True,False,-1,30.800104602052652,8,3.8500130752565815,4,4,1.5151310608522637,2.0,2.1472850655359035,2.906888370749727,42.595238095238095,7208.0,PV-/PNN+,0.0,0.0,70.135,9.449796583524995
167,755.5796178343949,712.5286624203821,66.33250000000001,9.190057785517194,4142.0,True,False,-1,43.40020920410531,11,3.9454735640095735,7,5,1.0511513777313521,2.2,2.264005234694103,4.687216658103186,40.01754385964912,9144.0,PV-/PNN+,0.0,0.0,66.33250000000001,9.190057785517194
168,767.7795698924731,324.33870967741933,78.58500000000001,10.002876067562408,15913.0,True,True,84,55.21173157302029,8,6.901466446627536,4,4,1.0959415636946834,2.0,2.0799076043648403,3.6769552621700474,52.38666666666666,14534.0,PV+/PNN+,78.58500000000001,10.002876067562408,162.66250000000002,14.391258716508554
169,765.8896103896104,535.9383116883117,130.13000000000002,12.8719331087598,10604.0,True,False,-1,36.47325394193525,3,12.157751313978416,3,1,2.0524710761710065,3.0,2.1098374168960103,2.906888370749727,39.604166666666664,8817.0,PV-/PNN+,0.0,0.0,130.13000000000002,12.8719331087598
170,765.2602040816327,742.8979591836735,82.81,10.268250420569165,4641.0,True,False,-1,68.48097038856281,16,4.280060649285176,8,8,1.0694882392034837,2.0,2.961792263328233,5.360037313302959,45.084210526315786,17646.0,PV-/PNN+,0.0,0.0,82.81,10.268250420569165
